tournament_key,tournament_id,tournament_name,game_title,region,start_date,end_date,prize_pool_usd,team_count,format,stage,venue,sponsor
176,TOUR0176,Valorant Invitational 2020,Valorant,LATAM,2020-01-24,2020-02-05,50000,24,Double Elimination,Grand Final,Paris La Défense Arena,Red Bull
177,TOUR0177,Dota 2 Masters 2021,Dota 2,NA,2021-11-08,2021-11-14,10000,24,Swiss,Quarter-Final,ESL One Cologne,Logitech
178,TOUR0178,Overwatch 2 Championship 2023,Overwatch 2,NA,2023-03-19,2023-03-28,25000,23,Single Elimination,Grand Final,Axiata Arena KL,Secretlab
179,TOUR0179,Apex Legends Major 2022,Apex Legends,EU,2022-04-24,2022-04-26,10000,10,GSL,Playoffs,Palacio Vistalegre Madrid,SteelSeries
180,TOUR0180,Overwatch 2 Masters 2021,Overwatch 2,ME,2021-11-29,2021-12-06,10000,15,GSL,Grand Final,Axiata Arena KL,NVIDIA
181,TOUR0181,Fortnite Major 2024,Fortnite,APAC,2024-01-06,2024-01-15,25000,11,Single Elimination,Wild Card,Seoul Olympic Hall,Razer
182,TOUR0182,Rocket League Major 2023,Rocket League,EU,2023-01-26,2023-02-05,500000,30,Double Elimination,Group Stage,Online,Secretlab
183,TOUR0183,Apex Legends Major 2020,Apex Legends,EU,2020-08-07,2020-08-13,100000,14,Double Elimination,Group Stage,ESL One Cologne,Secretlab
184,TOUR0184,Fortnite Cup 2020,Fortnite,ME,2020-08-08,2020-08-22,1000000,9,Swiss,Wild Card,Barclays Center NY,Secretlab
185,TOUR0185,CS2 Open 2022,CS2,ME,2022-10-18,2022-10-20,10000,25,GSL,Grand Final,Paris La Défense Arena,HyperX
186,TOUR0186,CS2 Masters 2020,CS2,APAC,2020-07-31,2020-08-08,500000,24,GSL,Grand Final,ESL One Cologne,Logitech
187,TOUR0187,Fortnite Major 2021,Fortnite,ME,2021-08-25,2021-09-03,50000,12,GSL,Grand Final,Palacio Vistalegre Madrid,Razer
188,TOUR0188,Dota 2 Major 2021,Dota 2,ME,2021-02-15,2021-02-20,250000,29,Double Elimination,Semi-Final,Coca-Cola Arena Dubai,SteelSeries
189,TOUR0189,Fortnite Championship 2023,Fortnite,LATAM,2023-12-25,2023-12-28,500000,25,GSL,Grand Final,ESL One Cologne,ASUS ROG
190,TOUR0190,League of Legends Invitational 2020,League of Legends,EU,2020-02-21,2020-02-29,50000,9,Double Elimination,Wild Card,Online,ASUS ROG
191,TOUR0191,Rocket League Cup 2020,Rocket League,NA,2020-10-26,2020-10-28,250000,14,Round Robin,Playoffs,Online,Secretlab
192,TOUR0192,Dota 2 Masters 2024,Dota 2,LATAM,2024-02-29,2024-03-12,1000000,15,Single Elimination,Playoffs,Palacio Vistalegre Madrid,Monster Energy
193,TOUR0193,Fortnite Major 2023,Fortnite,EU,2023-02-04,2023-02-06,10000,31,GSL,Semi-Final,Seoul Olympic Hall,Secretlab
194,TOUR0194,Fortnite Major 2024,Fortnite,EU,2024-03-26,2024-04-06,100000,32,Round Robin,Wild Card,Seoul Olympic Hall,Secretlab
195,TOUR0195,League of Legends Open 2021,League of Legends,APAC,2021-01-17,2021-01-21,25000,20,Round Robin,Group Stage,ESL One Cologne,SteelSeries
196,TOUR0196,CS2 Cup 2023,CS2,APAC,2023-04-11,2023-04-17,10000,18,Single Elimination,Grand Final,Coca-Cola Arena Dubai,HyperX
197,TOUR0197,Valorant Open 2024,Valorant,ME,2024-05-03,2024-05-15,250000,23,Single Elimination,Playoffs,Axiata Arena KL,Razer
198,TOUR0198,CS2 Open 2022,CS2,EU,2022-12-02,2022-12-05,50000,21,Single Elimination,Playoffs,ESL One Cologne,Razer
199,TOUR0199,Fortnite Major 2021,Fortnite,NA,2021-11-09,2021-11-16,250000,14,GSL,Playoffs,Paris La Défense Arena,Intel
200,TOUR0200,Fortnite Invitational 2022,Fortnite,LATAM,2022-07-01,2022-07-06,100000,9,Swiss,Wild Card,Axiata Arena KL,Red Bull
201,TOUR0201,Rocket League Major 2020,Rocket League,APAC,2020-02-20,2020-03-01,500000,24,Swiss,Playoffs,Paris La Défense Arena,Intel
202,TOUR0202,Dota 2 Major 2021,Dota 2,EU,2021-10-18,2021-10-28,25000,11,Single Elimination,Quarter-Final,Online,Logitech
203,TOUR0203,Apex Legends Championship 2020,Apex Legends,APAC,2020-07-31,2020-08-05,1000000,28,Single Elimination,Group Stage,Coca-Cola Arena Dubai,Secretlab
204,TOUR0204,League of Legends Masters 2020,League of Legends,APAC,2020-05-30,2020-06-01,50000,16,GSL,Playoffs,Barclays Center NY,Logitech
205,TOUR0205,Apex Legends Championship 2022,Apex Legends,ME,2022-07-12,2022-07-24,1000000,21,Swiss,Semi-Final,Online,Red Bull
206,TOUR0206,League of Legends Major 2024,League of Legends,APAC,2024-03-28,2024-04-10,10000,30,GSL,Group Stage,Axiata Arena KL,Red Bull
207,TOUR0207,Rocket League Open 2023,Rocket League,LATAM,2023-05-27,2023-05-30,250000,32,Swiss,Grand Final,ESL One Cologne,Intel
208,TOUR0208,Dota 2 Cup 2020,Dota 2,NA,2020-10-06,2020-10-19,1000000,25,Round Robin,Semi-Final,Coca-Cola Arena Dubai,Razer
209,TOUR0209,CS2 Invitational 2020,CS2,NA,2020-09-09,2020-09-11,10000,26,GSL,Playoffs,ESL One Cologne,SteelSeries
210,TOUR0210,Dota 2 Cup 2024,Dota 2,EU,2024-03-12,2024-03-25,500000,14,Double Elimination,Grand Final,Coca-Cola Arena Dubai,HyperX
